State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Urban_Households,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Having_latrine_facility_within_the_premises_Total_Households,sex_ration,Literacy_rate
Andhra Pradesh,Adilabad,19.28451395,78.81321233,532,2741239,1369597,1371642,1483347,856350,194954,566108,5512,45202,220248,1346992,1030640,2377632,1536378,704551,150289,8338,96998,9483,191052,1001.0,54.11
Andhra Pradesh,Anantapur,14.31206556,77.46015845,553,4081148,2064495,2016653,2310960,1338474,223016,897970,8606,48299,341431,2426929,1369069,3795998,2189396,1104565,206433,9915,144214,14470,353948,977.0,56.63
Andhra Pradesh,Chittoor,13.33109263,78.92763899,554,4174064,2090204,2083860,2667878,1484794,324406,944555,13763,67087,395900,3062955,1170993,4233948,2148179,1159053,225856,16296,186568,24934,382377,997.0,63.92
Andhra Pradesh,East Godavari,16.78271832,82.24320747,545,5154296,2569688,2584608,3288577,1716933,479914,1297273,22411,93784,406362,3518619,1524603,5043222,2724328,1478954,779052,25381,232073,34494,800168,1006.0,63.8
Andhra Pradesh,Guntur,15.88492577,80.58657614,548,4887813,2440521,2447292,2960441,1634726,648568,1186028,19383,80434,513113,3209266,1474349,4683615,2583462,1371811,454586,17424,190079,28457,762845,1003.0,60.57
Andhra Pradesh,Hyderabad,17.38971556,78.46668889,536,3943323,2018575,1924748,2892155,1542688,581509,869721,149034,274653,1066289,3445721,556902,4002623,2249130,1068243,229561,124106,439890,200317,868186,954.0,73.34
Andhra Pradesh,Karimnagar,18.51548319,79.43765429,534,3776269,1880800,1895469,2206829,1257238,344667,926768,8831,46584,288044,2325560,1280393,3605953,1940234,1031735,406211,14175,192965,16190,452865,1008.0,58.44
Andhra Pradesh,Khammam,17.68392133,80.67008644,541,2797370,1390988,1406382,1630234,901640,219710,668519,8628,42171,201363,1551232,875272,2426504,1530602,774583,267852,11887,115078,15140,360531,1011.0,58.28
Andhra Pradesh,Krishna,16.14387275,81.14805061,547,4517398,2267375,2250023,3009718,1598959,632890,1163932,30438,101450,567042,3169428,1352499,4521927,2340943,1284630,525079,27969,212111,43264,863417,992.0,66.63
Andhra Pradesh,Kurnool,15.43759715,77.90086837,552,4053463,2039227,2014236,2127161,1246369,195001,816721,10081,56478,306982,2220285,1517933,3738218,2368684,1053618,271815,10622,118153,15373,353289,988.0,52.48
Andhra Pradesh,Mahbubnagar,16.63954622,77.98933089,538,4053028,2050386,2002642,1940646,1158386,136843,757821,6153,60812,161052,2049104,1604319,3653423,2360874,1027525,151754,12615,121553,11293,231015,977.0,47.88
Andhra Pradesh,Medak,17.88930498,78.13778902,535,3033288,1523030,1510258,1637137,953406,163074,604719,8635,47170,195479,2029580,1199818,3229398,1735769,779738,232114,14362,119276,15872,293838,992.0,53.97
Andhra Pradesh,Nalgonda,17.11325052,79.16984454,539,3488809,1759772,1729037,2001019,1160757,228818,789225,7715,53777,197433,2188695,1294811,3483506,1932349,897137,286559,18927,143010,15308,355700,983.0,57.36
Andhra Pradesh,Nizamabad,18.42948585,78.07523491,533,2551335,1250641,1300694,1389810,790214,186740,545913,5261,35036,155133,1804547,1041862,2846409,1399773,676401,212631,10088,102049,9899,245523,1040.0,54.47
Andhra Pradesh,Prakasam,15.489039,80.1166579,549,3397448,1714764,1682684,1904435,1107686,290947,763746,6151,43611,214089,1900943,1218310,3119253,1832695,917391,226045,9071,105940,10365,321332,981.0,56.05
Andhra Pradesh,Srikakulam,18.570901,84.25874814,542,2703114,1341738,1361376,1495381,857824,149554,615432,3988,32280,149684,1499877,1009992,2509869,1423119,747385,180824,5264,64087,6316,146386,1015.0,55.32
Andhra Pradesh,Vizianagaram,18.28329696,83.45982854,543,2344474,1161477,1182997,1238388,707503,140361,527736,4453,24128,157056,1240323,1031683,2272006,1206366,666394,168297,5002,61858,7516,131289,1019.0,52.82
Andhra Pradesh,Warangal,18.01752609,79.87422029,540,3512576,1759281,1753295,2065023,1179790,237349,828077,12952,59006,288249,2212184,1191252,3403436,1891954,941452,311837,15727,139404,22196,388583,997.0,58.79
Andhra Pradesh,West Godavari,16.63297944,81.45912991,546,3936966,1964918,1972048,2652389,1379223,435334,1017568,12050,55613,248373,2771842,1028767,3800609,2051513,1127764,605463,14687,182698,19128,694857,1004.0,67.37
Arunachal Pradesh,Changlang,27.36048479,96.37552645,253,148226,76948,71278,73174,44027,4762,14593,170,1486,6498,80456,57290,137746,96630,35018,13306,1102,2450,499,19606,926.0,49.37
